soil_type,moisture_content,bulk_density,grain_size,foundation_depth,field_observation_score,bearing_capacity,safety_class
Sand,14.46,14.19,Coarse,1.67,5,285.18,Safe
Sand,6.09,15.07,Medium,0.77,3,193.24,Moderate
Gravel,8.82,14.64,Medium,2.9,2,288.58,Safe
Silt,5.95,18.02,Medium,2.29,5,221.41,Safe
Clay,33.25,21.91,Coarse,1.44,3,160.82,Moderate
Sand,28.89,14.39,Coarse,1.56,3,233.43,Safe
Sand,31.4,19.94,Medium,1.95,5,275.76,Safe
Gravel,10.04,18.27,Medium,1.94,1,350.82,Safe
Sand,20.37,15.45,Fine,1.9,1,184.62,Moderate
Sand,39.35,17.86,Coarse,2.17,2,282.09,Safe
Silt,26.75,20.16,Coarse,1.17,4,221.79,Safe
Silt,31.56,14.64,Fine,2.96,3,185.28,Moderate
Sand,30.28,17.82,Medium,2.81,2,282.56,Safe
Sand,24.51,16.91,Coarse,1.1,2,272.3,Safe
Silt,38.6,21.76,Medium,1.97,2,235.41,Safe
Gravel,17.42,21.87,Medium,1.74,4,332.21,Safe
Sand,27.9,15.77,Fine,1.77,2,170.52,Moderate
Silt,7.33,17.5,Coarse,1.4,1,228.34,Safe
Sand,22.23,16.37,Fine,0.63,4,200.76,Safe
Silt,5.32,15.65,Fine,0.69,2,121.92,Moderate
Gravel,20.32,14.55,Medium,1.82,1,311.78,Safe
Sand,29.54,14.88,Medium,2.0,1,194.87,Moderate
Clay,14.52,14.32,Coarse,1.26,5,135.29,Moderate
Sand,9.9,15.75,Fine,1.8,4,198.35,Moderate
Silt,22.81,14.31,Medium,1.46,4,173.15,Moderate
Sand,29.31,20.15,Coarse,2.27,4,372.38,Safe
Silt,11.83,17.87,Coarse,1.61,3,223.82,Safe
Silt,21.9,20.61,Medium,1.16,4,196.54,Moderate
Silt,38.27,17.69,Fine,1.71,4,157.01,Moderate
Silt,32.27,15.03,Coarse,0.95,4,182.4,Moderate
Silt,14.26,14.17,Coarse,0.82,1,139.69,Moderate
Silt,29.58,18.99,Fine,0.65,4,178.31,Moderate
Clay,28.59,15.98,Medium,2.83,2,111.16,Moderate
Gravel,19.55,20.1,Coarse,1.03,5,382.1,Safe
Sand,16.97,21.83,Coarse,1.95,5,335.73,Safe
Sand,25.96,20.8,Medium,1.64,2,296.46,Safe
Clay,22.89,17.17,Coarse,2.15,5,140.08,Moderate
Sand,21.94,17.65,Medium,2.41,5,239.99,Safe
Gravel,5.63,19.58,Medium,2.26,3,400.0,Safe
Sand,39.07,17.82,Coarse,2.46,4,268.99,Safe
Sand,33.14,18.33,Medium,1.41,2,250.96,Safe
Clay,5.77,15.63,Coarse,2.98,5,253.63,Safe
Sand,21.15,18.53,Coarse,2.12,5,305.27,Safe
Silt,11.48,16.29,Medium,2.04,3,184.85,Moderate
Sand,12.14,15.88,Medium,0.61,4,230.32,Safe
Clay,14.48,21.62,Coarse,1.27,4,204.91,Safe
Silt,20.37,19.04,Medium,0.66,1,180.03,Moderate
Clay,20.38,17.74,Coarse,1.36,5,148.47,Moderate
Clay,6.47,14.01,Fine,2.01,2,114.1,Moderate
Silt,25.76,21.91,Medium,2.35,1,237.71,Safe
Silt,11.14,18.55,Coarse,1.19,1,228.26,Safe
Clay,16.7,20.54,Medium,0.54,1,124.71,Moderate
Gravel,38.74,20.56,Fine,2.09,2,336.61,Safe
Gravel,15.84,19.31,Fine,2.01,5,354.41,Safe
Clay,39.19,18.58,Medium,2.69,4,111.47,Moderate
Clay,25.9,19.46,Coarse,0.57,5,129.17,Moderate
Sand,35.0,18.11,Medium,1.69,3,237.74,Safe
Clay,16.6,18.85,Medium,2.93,5,234.33,Safe
Clay,13.03,16.26,Coarse,2.41,3,180.87,Moderate
Sand,22.38,14.62,Coarse,2.6,2,239.24,Safe
Gravel,39.1,21.17,Coarse,1.19,5,400.0,Safe
Silt,36.77,21.27,Medium,2.23,5,282.75,Safe
Clay,21.83,14.96,Medium,2.1,1,97.29,Unsafe
Gravel,30.65,14.4,Coarse,2.51,1,347.3,Safe
Silt,17.36,15.48,Coarse,1.22,5,185.78,Moderate
Silt,18.75,18.78,Medium,1.71,1,177.01,Moderate
Clay,25.38,17.67,Medium,1.56,4,103.63,Moderate
Sand,15.0,18.32,Medium,2.15,1,276.17,Safe
Sand,30.83,17.05,Fine,2.67,4,247.29,Safe
Clay,32.36,15.8,Medium,0.64,3,50.0,Unsafe
Silt,29.49,20.24,Fine,1.32,4,186.07,Moderate
Sand,6.41,15.45,Fine,1.38,1,184.3,Moderate
Silt,19.39,21.58,Coarse,2.39,3,334.8,Safe
Gravel,7.23,16.64,Coarse,1.15,5,359.75,Safe
Silt,16.36,15.67,Medium,0.99,5,169.32,Moderate
Silt,11.28,21.65,Fine,2.82,4,266.2,Safe
Sand,5.92,14.93,Coarse,2.91,4,307.55,Safe
Clay,34.57,14.51,Coarse,1.06,4,50.0,Unsafe
Silt,26.2,15.49,Coarse,2.53,4,217.22,Safe
Clay,35.04,17.27,Medium,2.23,1,70.19,Unsafe
Sand,26.86,21.07,Fine,2.75,3,292.76,Safe
Clay,35.31,19.14,Coarse,1.22,5,113.78,Moderate
Sand,6.53,17.11,Fine,2.14,5,227.02,Safe
Silt,29.22,17.5,Fine,2.86,1,175.21,Moderate
Sand,6.54,17.29,Fine,2.08,2,248.26,Safe
Sand,27.78,17.23,Medium,1.79,5,280.22,Safe
Sand,32.43,17.15,Fine,2.21,5,261.03,Safe
Silt,30.29,18.13,Coarse,0.68,4,214.71,Safe
Sand,14.44,19.3,Coarse,2.72,2,385.35,Safe
Sand,11.97,15.33,Medium,1.52,2,234.53,Safe
Sand,35.79,14.34,Medium,1.43,1,153.34,Moderate
Gravel,34.38,14.61,Coarse,2.53,5,320.3,Safe
Sand,39.31,17.31,Medium,2.29,1,219.36,Safe
Sand,14.89,19.37,Medium,2.53,4,318.15,Safe
Silt,17.87,17.35,Medium,2.03,2,183.74,Moderate
Silt,25.76,17.66,Fine,0.78,5,167.76,Moderate
Sand,36.57,14.0,Medium,1.32,5,183.81,Moderate
Clay,19.39,19.72,Fine,1.28,4,133.14,Moderate
Clay,13.2,17.04,Fine,1.12,2,94.84,Unsafe
Clay,22.69,18.31,Fine,2.02,4,140.94,Moderate
Sand,33.12,15.31,Medium,2.96,5,294.03,Safe
Clay,22.42,21.47,Medium,1.57,4,145.6,Moderate
Clay,29.09,14.84,Fine,1.16,3,50.0,Unsafe
Clay,35.49,14.76,Coarse,1.94,2,50.0,Unsafe
Clay,31.67,20.05,Medium,1.92,3,106.52,Moderate
Silt,34.95,17.29,Medium,0.52,4,152.53,Moderate
Silt,5.35,20.24,Medium,0.51,3,230.95,Safe
Sand,27.27,20.18,Fine,1.49,3,217.92,Safe
Sand,9.24,19.32,Coarse,1.96,3,321.85,Safe
Gravel,26.28,19.58,Fine,1.82,4,308.82,Safe
Clay,28.16,20.94,Medium,1.91,4,145.4,Moderate
Sand,16.75,20.04,Fine,0.53,1,218.94,Safe
Gravel,34.34,18.04,Coarse,2.92,5,400.0,Safe
Clay,28.71,19.58,Coarse,0.75,5,123.82,Moderate
Sand,10.47,20.61,Medium,2.17,3,262.89,Safe
Silt,36.53,15.64,Fine,2.67,2,160.88,Moderate
Clay,17.94,20.66,Medium,0.51,2,113.27,Moderate
Clay,10.6,16.46,Medium,1.73,2,133.98,Moderate
Sand,15.23,19.99,Coarse,2.76,2,308.72,Safe
Clay,17.36,19.58,Coarse,2.52,4,227.93,Safe
Sand,14.08,16.01,Medium,2.41,2,258.95,Safe
Sand,16.16,15.07,Medium,2.76,1,238.47,Safe
Clay,36.08,20.12,Coarse,0.84,3,93.28,Unsafe
Sand,7.4,14.8,Medium,1.9,3,220.34,Safe
Sand,34.18,17.63,Fine,1.36,5,216.31,Safe
Clay,11.42,14.85,Fine,1.1,2,88.99,Unsafe
Clay,35.1,15.29,Medium,1.22,4,50.0,Unsafe
Clay,31.63,21.08,Medium,1.73,4,134.51,Moderate
Silt,32.18,16.78,Medium,0.77,5,152.55,Moderate
Sand,17.94,20.13,Medium,0.84,3,282.07,Safe
Silt,34.4,17.45,Medium,1.68,2,156.67,Moderate
Clay,15.43,20.99,Fine,1.82,5,196.79,Moderate
Sand,30.92,18.8,Medium,2.02,4,296.84,Safe
Sand,27.79,18.59,Medium,2.71,2,308.82,Safe
Silt,33.59,15.63,Fine,1.7,1,138.92,Moderate
Clay,23.06,18.6,Medium,1.89,1,135.8,Moderate
Clay,7.51,15.57,Fine,0.94,3,100.53,Moderate
Sand,28.59,21.28,Fine,2.28,1,239.51,Safe
Sand,20.28,20.64,Fine,2.45,5,272.07,Safe
Clay,23.46,15.78,Fine,0.75,5,75.0,Unsafe
Gravel,31.79,14.59,Coarse,0.92,1,312.73,Safe
Sand,5.5,19.15,Coarse,1.3,4,354.1,Safe
Clay,38.52,14.45,Fine,1.59,4,50.0,Unsafe
Clay,36.24,19.8,Medium,2.3,3,111.83,Moderate
Sand,6.11,14.77,Coarse,2.71,4,261.76,Safe
Silt,7.49,16.39,Coarse,1.54,1,202.83,Safe
Clay,22.79,17.04,Fine,1.47,3,82.89,Unsafe
Sand,39.85,21.28,Medium,1.56,4,262.72,Safe
Silt,19.16,20.56,Medium,2.18,3,257.58,Safe
Clay,29.02,21.79,Fine,2.1,4,136.8,Moderate
Silt,32.02,15.85,Medium,1.0,5,141.96,Moderate
Sand,21.41,20.59,Fine,0.54,4,243.59,Safe
Clay,28.37,15.25,Fine,1.07,4,53.96,Unsafe
Clay,12.38,18.64,Coarse,1.97,4,213.08,Safe
Clay,5.05,21.57,Coarse,2.22,5,327.58,Safe
Gravel,35.47,16.68,Coarse,2.69,2,317.49,Safe
Sand,33.18,17.39,Fine,2.42,5,245.75,Safe
Silt,21.25,21.73,Medium,1.3,1,208.22,Safe
Sand,8.59,20.53,Fine,1.27,5,274.81,Safe
Clay,39.0,15.05,Medium,0.55,3,50.0,Unsafe
Sand,7.72,20.4,Fine,0.97,4,285.81,Safe
Sand,7.69,21.5,Medium,0.83,4,246.75,Safe
Sand,22.07,21.82,Fine,0.57,2,218.7,Safe
Clay,22.37,16.76,Medium,1.91,3,100.18,Moderate
Clay,25.94,16.51,Fine,2.72,4,112.04,Moderate
Sand,10.65,17.48,Fine,2.55,5,226.4,Safe
Gravel,15.23,19.44,Medium,0.9,1,296.22,Safe
Sand,23.74,15.23,Coarse,0.71,4,194.91,Moderate
Sand,21.67,21.09,Medium,2.32,3,259.53,Safe
Sand,24.55,14.76,Medium,1.2,4,181.38,Moderate
Silt,13.13,14.64,Medium,0.53,1,107.42,Moderate
Gravel,23.32,17.8,Coarse,0.81,3,339.98,Safe
Sand,9.04,20.44,Coarse,1.17,2,346.75,Safe
Clay,9.15,20.42,Coarse,2.82,4,291.72,Safe
Silt,23.56,16.11,Medium,0.72,5,180.91,Moderate
Gravel,32.61,20.5,Fine,1.75,1,278.69,Safe
Sand,37.16,14.24,Medium,2.19,5,208.91,Safe
Clay,21.94,15.45,Fine,1.72,1,78.11,Unsafe
Clay,8.24,14.05,Coarse,2.33,4,152.04,Moderate
Clay,8.55,15.25,Coarse,0.68,5,140.13,Moderate
Sand,7.27,18.76,Fine,0.53,5,227.85,Safe
Clay,16.39,21.44,Medium,0.64,4,139.4,Moderate
Sand,28.07,20.2,Medium,0.95,1,246.78,Safe
Silt,34.69,21.97,Coarse,1.9,5,272.62,Safe
Silt,11.93,17.05,Coarse,0.64,5,219.25,Safe
Clay,13.79,16.02,Medium,2.72,3,152.96,Moderate
Clay,25.24,14.11,Coarse,2.59,2,99.35,Unsafe
Silt,29.31,20.93,Coarse,2.19,1,273.35,Safe
Gravel,8.56,17.07,Medium,2.73,5,328.23,Safe
Sand,16.42,14.7,Fine,0.93,4,180.01,Moderate
Clay,24.13,20.08,Fine,2.55,3,156.17,Moderate
Silt,37.87,15.18,Fine,1.1,3,123.87,Moderate
Gravel,7.36,14.32,Medium,1.89,3,261.12,Safe
Clay,19.33,14.09,Medium,2.94,5,132.97,Moderate
Sand,33.49,14.01,Fine,2.74,5,185.83,Moderate
Silt,7.19,17.66,Fine,3.0,1,190.18,Moderate
Silt,23.58,16.09,Coarse,2.63,4,234.73,Safe
Clay,35.66,21.04,Medium,0.93,4,111.22,Moderate
Sand,7.28,19.85,Fine,1.29,1,202.46,Safe
Sand,33.09,14.08,Fine,2.76,1,210.88,Safe
Clay,10.0,21.57,Medium,2.21,2,214.41,Safe
Sand,28.8,21.07,Medium,2.44,1,307.67,Safe
Sand,31.64,20.26,Fine,2.13,1,217.63,Safe
Silt,36.35,16.78,Fine,2.36,1,137.07,Moderate
Sand,23.67,18.81,Coarse,2.46,4,308.97,Safe
Sand,28.21,16.57,Medium,0.75,5,195.12,Moderate
Clay,5.05,17.66,Coarse,2.61,5,214.85,Safe
Clay,19.34,15.0,Medium,0.86,5,90.86,Unsafe
Silt,25.1,18.89,Fine,2.59,2,223.62,Safe
Sand,29.66,17.14,Medium,0.81,3,238.79,Safe
Sand,39.9,18.62,Coarse,1.54,2,249.32,Safe
Clay,31.28,19.16,Medium,2.13,5,129.33,Moderate
Clay,27.97,18.01,Medium,2.31,4,139.85,Moderate
Sand,25.98,14.44,Fine,1.48,4,171.69,Moderate
Clay,19.1,15.81,Medium,1.89,1,97.72,Unsafe
Silt,12.44,20.45,Coarse,2.76,2,309.6,Safe
Clay,18.37,15.4,Coarse,1.69,5,155.49,Moderate
Sand,19.27,18.77,Coarse,2.56,2,329.16,Safe
Sand,12.63,18.33,Fine,2.39,2,271.89,Safe
Sand,20.04,18.53,Fine,0.66,1,215.52,Safe
Sand,17.4,14.55,Fine,2.51,4,215.21,Safe
Clay,14.24,17.75,Medium,1.41,2,124.28,Moderate
Silt,23.92,15.92,Fine,2.59,3,183.97,Moderate
Clay,23.13,17.77,Fine,1.76,2,112.99,Moderate
Sand,35.18,15.36,Coarse,2.58,4,267.23,Safe
Gravel,7.08,15.74,Coarse,1.32,2,371.8,Safe
Clay,31.76,21.66,Medium,2.46,2,161.61,Moderate
Silt,26.1,19.61,Coarse,0.76,1,191.06,Moderate
Silt,17.49,19.82,Coarse,1.15,2,224.32,Safe
Sand,24.62,16.69,Coarse,2.78,5,326.15,Safe
Sand,29.74,17.06,Fine,1.9,2,234.17,Safe
Silt,25.22,15.17,Medium,0.69,3,123.65,Moderate
Sand,7.65,18.04,Fine,0.82,5,234.34,Safe
Sand,30.43,19.13,Coarse,1.09,5,250.76,Safe
Gravel,38.81,16.8,Medium,0.97,2,249.41,Safe
Sand,17.61,20.05,Medium,1.92,2,235.78,Safe
Clay,18.83,21.93,Coarse,2.96,4,273.16,Safe
Sand,37.81,17.51,Medium,1.0,5,194.25,Moderate
Sand,5.0,21.92,Coarse,2.3,2,341.71,Safe
Clay,32.23,20.53,Medium,1.7,5,120.83,Moderate
Clay,8.53,21.99,Fine,2.48,5,202.89,Safe
Silt,26.68,14.46,Medium,2.95,4,182.8,Moderate
Silt,38.97,21.63,Coarse,0.96,3,232.94,Safe
Clay,24.57,18.57,Medium,2.63,2,129.38,Moderate
Sand,13.63,17.1,Medium,0.6,3,221.39,Safe
Silt,12.05,17.31,Coarse,1.47,3,228.69,Safe
Clay,33.87,15.49,Coarse,0.86,1,50.0,Unsafe
Silt,27.06,17.16,Medium,0.78,5,201.17,Safe
Clay,9.57,17.21,Medium,2.54,1,166.51,Moderate
Silt,31.49,19.61,Fine,2.95,2,228.26,Safe
Clay,21.69,21.65,Coarse,2.99,1,208.2,Safe
Sand,38.53,21.18,Medium,1.93,5,283.65,Safe
Silt,38.72,16.81,Fine,2.55,5,190.0,Moderate
Silt,10.66,15.46,Fine,2.63,3,205.21,Safe
Sand,14.62,21.34,Fine,3.0,5,332.82,Safe
Clay,16.44,16.25,Medium,1.21,1,97.17,Unsafe
Silt,14.95,15.36,Coarse,1.95,3,199.32,Moderate
Sand,34.76,15.12,Medium,2.38,5,273.49,Safe
Clay,20.9,20.76,Fine,1.61,4,158.81,Moderate
Sand,26.92,17.61,Medium,2.0,4,236.98,Safe
Sand,36.04,18.78,Medium,2.87,4,328.16,Safe
Clay,38.63,15.33,Coarse,1.69,2,50.0,Unsafe
Gravel,31.18,16.81,Medium,1.0,3,323.3,Safe
Sand,32.93,18.32,Coarse,2.64,2,300.14,Safe
Silt,6.83,20.43,Fine,0.59,5,221.3,Safe
Sand,30.81,14.22,Fine,2.49,1,177.89,Moderate
Gravel,21.59,17.25,Medium,1.8,2,287.03,Safe
Silt,32.31,21.13,Medium,2.71,2,269.31,Safe
Gravel,37.42,15.42,Coarse,2.08,4,343.84,Safe
Silt,23.83,16.78,Fine,2.73,3,183.77,Moderate
Sand,31.91,15.73,Medium,2.53,1,249.87,Safe
Clay,34.47,21.19,Fine,1.86,1,97.99,Unsafe
Sand,12.41,18.02,Medium,2.4,3,296.71,Safe
Sand,35.09,14.07,Medium,1.62,5,231.1,Safe
Silt,10.58,18.2,Medium,3.0,4,236.63,Safe
Sand,19.79,20.08,Medium,2.51,3,284.95,Safe
Sand,33.78,17.22,Coarse,2.06,5,324.43,Safe
Sand,35.58,16.85,Fine,2.34,5,259.34,Safe
Silt,14.72,18.38,Medium,2.08,5,238.91,Safe
Silt,27.98,17.89,Medium,1.81,4,191.22,Moderate
Silt,27.9,21.73,Fine,1.7,3,208.37,Safe
Clay,35.2,17.74,Coarse,0.56,5,60.92,Unsafe
Silt,18.7,17.54,Coarse,1.52,4,211.84,Safe
Clay,28.75,14.83,Coarse,1.89,3,85.17,Unsafe
Sand,20.67,14.39,Coarse,2.01,3,268.12,Safe
Sand,20.41,19.83,Coarse,2.65,3,318.68,Safe
Sand,25.97,14.55,Medium,0.58,5,208.24,Safe
Clay,19.68,14.9,Fine,0.89,2,64.76,Unsafe
Clay,22.25,20.24,Fine,1.96,1,143.81,Moderate
Silt,33.78,15.82,Fine,2.33,2,157.42,Moderate
Sand,11.57,14.69,Coarse,2.3,3,236.32,Safe
Gravel,31.75,15.14,Coarse,0.57,1,304.65,Safe
Sand,20.29,14.95,Medium,2.01,1,176.46,Moderate
Silt,7.03,16.86,Coarse,0.6,1,196.56,Moderate
Gravel,14.5,16.37,Medium,2.44,2,353.7,Safe
Clay,5.43,19.38,Fine,1.12,1,125.68,Moderate
Sand,37.11,17.67,Medium,1.23,2,201.87,Safe
Clay,33.78,19.54,Coarse,1.63,5,116.83,Moderate
Clay,17.99,16.73,Fine,2.08,5,137.92,Moderate
Clay,7.9,14.11,Fine,1.57,4,105.39,Moderate
Clay,15.6,17.44,Medium,1.06,2,98.01,Unsafe
Sand,6.75,21.48,Medium,1.36,1,283.67,Safe
Sand,14.67,14.7,Medium,2.88,1,218.42,Safe
Sand,19.06,17.21,Coarse,2.56,3,318.14,Safe
Sand,13.4,20.95,Fine,1.98,4,287.78,Safe
Clay,19.66,18.45,Coarse,0.71,4,157.23,Moderate
Clay,15.11,20.89,Coarse,2.9,3,253.11,Safe
Clay,15.89,21.71,Fine,1.14,4,161.49,Moderate
Silt,31.19,20.78,Fine,2.02,3,190.33,Moderate
Silt,38.51,21.86,Fine,1.16,5,183.93,Moderate
Silt,30.03,20.91,Fine,1.31,4,205.65,Safe
Clay,14.49,15.9,Medium,2.7,4,152.28,Moderate
Silt,29.35,16.75,Coarse,2.5,5,239.24,Safe
Silt,27.73,18.66,Coarse,1.28,1,207.0,Safe
Clay,31.57,15.86,Coarse,2.52,3,106.7,Moderate
Sand,5.19,16.66,Fine,0.52,5,230.09,Safe
Silt,36.26,20.27,Fine,1.97,5,241.15,Safe
Clay,22.19,15.73,Medium,0.93,4,77.05,Unsafe
Clay,7.75,19.79,Medium,0.86,1,154.55,Moderate
Silt,16.6,16.16,Medium,0.58,3,131.29,Moderate
Clay,28.67,18.71,Medium,1.67,2,96.83,Unsafe
Sand,36.84,19.51,Coarse,2.99,4,339.95,Safe
Sand,15.73,18.83,Fine,0.61,1,213.6,Safe
Clay,10.31,17.53,Coarse,2.82,4,253.14,Safe
Silt,38.72,19.88,Fine,0.74,2,162.4,Moderate
Silt,5.35,19.93,Coarse,0.96,5,301.42,Safe
Clay,17.55,15.35,Fine,2.71,3,124.96,Moderate
Clay,8.1,18.7,Medium,1.94,5,219.22,Safe
Gravel,31.1,21.58,Fine,2.5,5,391.23,Safe
Clay,36.22,21.65,Fine,1.74,2,99.13,Unsafe
Gravel,6.36,16.84,Coarse,2.69,1,400.0,Safe
Silt,7.55,18.19,Medium,2.44,1,192.13,Moderate
Sand,35.92,21.53,Fine,2.13,5,316.01,Safe
Silt,6.82,14.85,Coarse,2.64,1,191.95,Moderate
Sand,38.07,20.59,Coarse,1.44,2,295.72,Safe
Clay,19.8,21.58,Medium,2.53,4,197.9,Moderate
Silt,6.47,15.23,Fine,1.42,1,152.81,Moderate
Clay,33.79,15.48,Fine,0.91,1,50.0,Unsafe
Sand,10.68,21.51,Coarse,2.39,4,335.52,Safe
Silt,11.5,17.57,Coarse,1.97,2,207.61,Safe
Silt,36.13,17.87,Fine,3.0,4,202.74,Safe
Sand,35.6,18.0,Coarse,2.6,2,294.43,Safe
Clay,34.93,15.99,Coarse,2.32,3,75.29,Unsafe
Sand,8.32,21.86,Fine,1.01,5,272.39,Safe
Sand,39.87,20.38,Medium,1.24,5,241.76,Safe
Gravel,30.81,18.57,Coarse,2.3,4,400.0,Safe
Sand,20.49,17.6,Fine,0.62,5,217.24,Safe
Clay,24.06,21.43,Coarse,2.1,3,206.57,Safe
Silt,7.19,16.22,Coarse,2.74,1,228.9,Safe
Sand,20.12,21.27,Coarse,0.68,3,260.77,Safe
Clay,31.43,16.72,Coarse,2.0,5,103.15,Moderate
Gravel,8.71,19.57,Coarse,1.94,2,353.3,Safe
Sand,20.41,19.31,Medium,0.53,5,257.49,Safe
Silt,17.35,18.09,Medium,0.97,2,170.4,Moderate
Clay,10.69,14.87,Medium,2.34,3,160.99,Moderate
Clay,32.76,20.13,Fine,2.33,2,101.82,Moderate
Gravel,24.64,14.26,Medium,1.79,3,259.55,Safe
Silt,15.83,21.2,Fine,2.92,2,214.76,Safe
Gravel,17.4,14.42,Medium,1.5,3,293.69,Safe
Gravel,21.6,17.8,Fine,2.26,2,274.76,Safe
Silt,28.23,17.82,Medium,2.47,4,224.53,Safe
Silt,38.74,21.64,Medium,2.96,4,271.11,Safe
Silt,15.27,15.4,Medium,0.59,4,143.91,Moderate
Sand,18.0,20.35,Medium,2.61,1,326.89,Safe
Sand,27.83,15.42,Medium,1.77,2,186.0,Moderate
Sand,31.83,14.45,Fine,0.99,3,181.26,Moderate
Clay,23.15,16.19,Fine,2.64,1,94.61,Unsafe
Sand,6.18,19.54,Coarse,1.14,4,324.33,Safe
Sand,32.11,20.99,Fine,2.45,4,262.69,Safe
Silt,30.32,17.88,Coarse,2.11,5,224.88,Safe
Sand,39.3,20.0,Coarse,2.16,4,274.99,Safe
Clay,18.63,20.67,Fine,1.83,5,150.11,Moderate
Sand,11.89,15.05,Medium,2.27,3,271.07,Safe
Clay,14.11,14.68,Coarse,0.75,1,72.96,Unsafe
Silt,34.61,20.56,Coarse,1.09,5,281.68,Safe
Clay,32.48,18.7,Fine,2.3,2,95.76,Unsafe
Silt,11.21,14.4,Coarse,0.97,3,174.7,Moderate
Sand,38.48,15.13,Medium,1.35,4,170.5,Moderate
Clay,17.52,18.82,Medium,0.9,2,115.41,Moderate
Clay,17.5,20.87,Fine,2.6,5,182.85,Moderate
Gravel,14.11,14.67,Medium,0.92,1,261.03,Safe
Gravel,10.86,17.84,Fine,1.32,4,339.68,Safe
Gravel,14.61,19.4,Coarse,1.86,1,367.02,Safe
Silt,30.6,15.28,Coarse,2.63,2,206.91,Safe
Sand,33.23,17.02,Medium,0.84,2,184.21,Moderate
Sand,28.33,19.93,Fine,2.94,3,298.36,Safe
Sand,26.56,21.69,Fine,2.38,4,252.09,Safe
Clay,35.77,21.53,Medium,2.13,5,157.04,Moderate
Silt,15.31,17.52,Coarse,0.8,3,195.61,Moderate
Sand,39.67,17.35,Fine,2.22,1,181.57,Moderate
Sand,9.99,19.84,Medium,1.49,4,249.35,Safe
Clay,29.86,14.67,Coarse,1.2,1,50.0,Unsafe
Sand,10.4,16.65,Coarse,1.14,4,286.75,Safe
Sand,26.86,20.37,Coarse,1.8,2,315.81,Safe
Sand,26.2,17.83,Fine,0.78,5,222.9,Safe
Clay,6.91,17.38,Coarse,2.35,5,237.41,Safe
Clay,18.72,18.47,Medium,0.76,2,114.96,Moderate
Gravel,19.58,18.76,Medium,2.3,1,293.27,Safe
Clay,20.15,16.5,Medium,0.57,5,102.68,Moderate
Sand,29.59,15.93,Medium,1.89,5,204.72,Safe
Sand,30.16,18.48,Fine,0.75,4,231.91,Safe
Silt,29.58,14.72,Medium,1.19,5,156.17,Moderate
Sand,30.9,15.19,Coarse,2.64,4,261.87,Safe
Sand,21.32,15.56,Fine,1.1,2,199.53,Moderate
Silt,20.48,17.29,Medium,2.32,5,206.53,Safe
Sand,35.57,15.0,Medium,2.83,2,202.31,Safe
Sand,28.62,21.73,Medium,2.77,2,297.99,Safe
Clay,17.24,15.75,Medium,1.39,4,123.79,Moderate
Clay,11.82,14.13,Fine,1.99,5,116.6,Moderate
Sand,33.96,14.64,Coarse,2.64,2,246.78,Safe
Silt,9.01,18.75,Coarse,0.78,1,209.89,Safe
Clay,32.05,17.35,Coarse,1.12,5,90.99,Unsafe
Silt,26.59,16.81,Medium,1.59,5,214.14,Safe
Sand,32.2,20.18,Medium,2.41,1,297.0,Safe
Silt,18.31,15.29,Medium,1.68,4,193.04,Moderate
Clay,9.97,21.41,Medium,1.84,3,195.85,Moderate
Sand,8.25,21.43,Fine,1.75,1,264.83,Safe
Clay,27.7,16.51,Medium,0.8,3,72.06,Unsafe
Gravel,33.38,18.35,Medium,2.97,2,303.77,Safe
Sand,26.27,18.26,Medium,2.51,2,278.68,Safe
Sand,27.13,18.65,Fine,2.6,3,249.12,Safe
Gravel,29.99,14.35,Fine,1.16,3,270.15,Safe
Sand,33.17,17.77,Fine,2.72,3,209.64,Safe
Clay,7.42,14.29,Medium,0.78,3,97.98,Unsafe
Silt,14.69,18.58,Coarse,2.39,5,276.93,Safe
Clay,16.25,14.41,Medium,2.29,3,131.79,Moderate
Sand,28.32,16.24,Coarse,1.61,1,264.0,Safe
Silt,14.59,17.69,Medium,2.97,1,222.16,Safe
Clay,18.03,15.91,Fine,1.21,1,65.97,Unsafe
Clay,17.8,15.37,Fine,2.31,1,84.14,Unsafe
Gravel,7.49,15.14,Fine,0.81,5,282.23,Safe
Silt,38.87,17.52,Medium,2.86,5,225.96,Safe
Clay,23.87,18.04,Medium,1.95,1,106.81,Moderate
Clay,31.31,18.88,Fine,0.81,3,76.84,Unsafe
Clay,31.01,19.37,Medium,0.59,4,75.92,Unsafe
Clay,18.69,15.33,Coarse,1.02,1,73.79,Unsafe
Sand,38.7,15.55,Medium,2.55,3,265.33,Safe
Sand,8.57,17.92,Fine,2.06,3,274.49,Safe
Silt,28.69,20.96,Coarse,0.84,5,237.59,Safe
Clay,12.72,21.27,Coarse,0.94,5,205.96,Safe
Gravel,8.69,19.72,Coarse,2.23,5,400.0,Safe
Sand,18.57,20.15,Coarse,2.29,2,337.99,Safe
Sand,36.41,17.46,Fine,1.62,3,218.84,Safe
Sand,22.11,16.84,Medium,2.24,1,209.48,Safe
Sand,14.4,17.24,Coarse,2.4,1,316.15,Safe
Clay,15.77,21.8,Medium,1.38,5,193.65,Moderate
Clay,18.62,14.06,Coarse,2.51,1,97.17,Unsafe
Silt,12.17,15.25,Fine,2.98,1,177.41,Moderate
Sand,33.74,19.44,Medium,0.76,5,275.52,Safe
Silt,36.49,20.59,Coarse,1.41,5,291.94,Safe
