observation,score
Poorly compacted terrain.,2
The soil is poorly compacted and yielding.,2
Site consists of dense material.,4
Excavation reveals dense layers.,4
Foundations would sit on moderate stiffness and moderately compacted earth.,3
Ground appears acceptable firmness and acceptable firmness.,3
Testing indicates solid footing subsurface.,4
Acceptable firmness and moderately compacted soil conditions observed.,3
Swampy and quick-sand soil conditions observed.,1
"Loamy sand, well-drained, good strength",4
Foundations would sit on extremely dense and excellent stability earth.,5
Excavation reveals cemented layers.,5
"Dry firm soil with gravel, very strong",4
Bedrock exposed terrain.,5
Site consists of compacted gravel material.,4
Testing indicates well compacted subsurface.,4
Site consists of sludge material.,1
Resistant to penetration terrain.,4
Foundations would sit on partially settled earth.,3
Ground appears no bearing capacity and no bearing capacity.,1
Site consists of moderate stiffness material.,3
Site consists of solid footing material.,4
The soil is good bearing.,4
Excavation reveals very hard layers.,5
Testing indicates resistant to penetration subsurface.,4
Testing indicates fluid-like subsurface.,1
Testing indicates moderately compacted and moderate stiffness subsurface.,3
Liquefied and collapsing terrain.,1
Stable enough ground.,3
"Loose clay, needs compaction",2
Soft clay with some moisture,2
Firm and good bearing soil conditions observed.,4
Observation: impenetrable and rock-like.,5
Foundations would sit on soft and spongy earth.,2
Waterlogged ground.,1
Soft ground.,2
Observation: undisturbed.,5
Ground appears partially settled and partially settled.,3
Testing indicates extremely dense and highly consolidated subsurface.,5
Stable enough terrain.,3
Excavation reveals average consistency and acceptable firmness layers.,3
Site consists of medium dense material.,3
Moderate stiffness ground.,3
Testing indicates unconsolidated and unconsolidated subsurface.,2
Unconsolidated ground.,2
Average consistency soil conditions observed.,3
Firm ground.,4
Unconsolidated soil conditions observed.,2
Excavation reveals extremely muddy layers.,1
"Very soft silt, waterlogged",1
Ground appears shifts underfoot and shifts underfoot.,2
Needs deep reinforcement ground.,2
Well compacted ground.,4
Stable and resistant to penetration ground.,4
Foundations would sit on fair condition earth.,3
Excavation reveals moderate stiffness layers.,3
Testing indicates medium dense subsurface.,3
"Dense sand, stable and strong",4
Extremely dense soil conditions observed.,5
Firm terrain.,4
Testing indicates quick-sand and zero resistance subsurface.,1
Site consists of hard clay material.,4
Observation: well compacted.,4
"Highly wet clay, very weak",1
Cemented soil conditions observed.,5
The soil is high strength.,4
"Soft soil, slightly wet and loose",2
Ground appears highly consolidated and highly consolidated.,5
Ground appears unstable and hazardous and unstable and hazardous.,1
Excavation reveals needs deep reinforcement layers.,2
Moderate stiffness ground.,3
Foundations would sit on good bearing and dense earth.,4
Observation: fair condition.,3
Testing indicates undisturbed subsurface.,5
Foundations would sit on high strength earth.,4
The soil is unstable.,1
Site consists of maximum compaction material.,5
The soil is hazardous.,1
"Loose soil, slightly wet",2
Highly consolidated and undisturbed terrain.,5
Resistant to penetration and good bearing terrain.,4
Weak soil conditions observed.,2
The soil is moderate stiffness and stable enough.,3
Moderate stiffness ground.,3
Excavation reveals hard clay layers.,4
Site consists of very hard material.,5
Site consists of moderately compacted material.,3
Foundations would sit on quick-sand earth.,1
Stable ground.,4
Needs deep reinforcement ground.,2
The soil is moderate stiffness.,3
Medium dense and fair condition terrain.,3
Site consists of solid footing material.,4
Observation: moderately compacted.,3
"Rocky soil, very strong",5
Moderately compacted ground.,3
Ground appears lightly consolidated and weak and lightly consolidated and weak.,2
Excavation reveals cemented layers.,5
Ground appears undisturbed and undisturbed.,5
Testing indicates dry and solid footing subsurface.,4
Observation: marshy.,1
Excavation reveals lightly consolidated layers.,2
Typical silt ground.,3
Ground appears fluid-like and fluid-like.,1
Fluid-like soil conditions observed.,1
The soil is average consistency.,3
Site consists of very soft material.,1
Excavation reveals solid footing layers.,4
Fair condition terrain.,3
Foundations would sit on undisturbed earth.,5
Resistant to penetration terrain.,4
Excavation reveals partially settled layers.,3
Resistant to penetration terrain.,4
Ground appears hard clay and dense and hard clay and dense.,4
Foundations would sit on loose earth.,2
Stable enough ground.,3
"Very hard compact gravel, excellent",5
Observation: good bearing.,4
Foundations would sit on liquefied earth.,1
The soil is dense and firm.,4
Excavation reveals solid footing layers.,4
Poorly compacted ground.,2
Excavation reveals impenetrable and very hard layers.,5
Excavation reveals high strength layers.,4
Observation: solid footing and compacted gravel.,4
Testing indicates average consistency and slightly moist subsurface.,3
Foundations would sit on spongy earth.,2
Zero resistance soil conditions observed.,1
Ground appears yielding and yielding.,2
"Average sand, dry and stable",3
Testing indicates firm subsurface.,4
Testing indicates poorly compacted subsurface.,2
Ground appears acceptable firmness and acceptable firmness.,3
Observation: marshy and quick-sand.,1
"Soft clay, slightly wet",2
Ground appears soft and shifts underfoot and soft and shifts underfoot.,2
Marshy soil conditions observed.,1
Typical silt ground.,3
Site consists of sludge material.,1
Site consists of typical silt and typical silt material.,3
Foundations would sit on high strength and dry earth.,4
Site consists of dry material.,4
Weak and loose clay with low strength,1
Ground appears typical silt and typical silt.,3
Unconsolidated ground.,2
Site consists of very hard material.,5
Foundations would sit on extremely dense and maximum compaction earth.,5
"Sticky clay, wet and weak",1
Sludge soil conditions observed.,1
Bedrock exposed soil conditions observed.,5
Rock-like soil conditions observed.,5
"Moderately compact sand, stable",3
Ground appears moderate stiffness and average consistency and moderate stiffness and average consistency.,3
Shifts underfoot soil conditions observed.,2
Testing indicates soft subsurface.,2
Soft terrain.,2
Testing indicates swampy and liquefied subsurface.,1
Testing indicates stable and hard clay subsurface.,4
Observation: moderately compacted and moderately compacted.,3
Unconsolidated ground.,2
Excavation reveals hard clay layers.,4
Compacted gravel ground.,4
Slightly moist and average consistency ground.,3
High strength ground.,4
Excavation reveals extremely muddy layers.,1
Excavation reveals no bearing capacity and marshy layers.,1
Observation: stable.,4
Ground appears spongy and spongy.,2
Moderately compacted soil,3
Acceptable firmness and average consistency soil conditions observed.,3
Unconsolidated soil conditions observed.,2
Poorly compacted and spongy ground.,2
Testing indicates slightly moist subsurface.,3
Excavation reveals excellent stability layers.,5
"Loose sandy soil, wet",2
Ground appears unconsolidated and unconsolidated.,2
Foundations would sit on weak earth.,2
Observation: stable enough.,3
Lightly consolidated and shifts underfoot terrain.,2
The soil is fair condition.,3
Ground appears shifts underfoot and shifts underfoot.,2
Ground appears lightly consolidated and lightly consolidated.,2
Site consists of fair condition material.,3
Shifts underfoot and spongy ground.,2
Moderately compacted and slightly moist soil conditions observed.,3
The soil is acceptable firmness.,3
The soil is marshy and very soft.,1
The soil is poorly compacted.,2
Fair condition and partially settled soil conditions observed.,3
Site consists of cemented material.,5
Unconsolidated soil conditions observed.,2
Observation: medium dense and partially settled.,3
Testing indicates typical silt subsurface.,3
Foundations would sit on extremely dense earth.,5
Observation: dry.,4
Foundations would sit on typical silt earth.,3
The soil is resistant to penetration.,4
Excavation reveals yielding layers.,2
Observation: collapsing and unstable.,1
Testing indicates resistant to penetration subsurface.,4
Well compacted and good bearing soil conditions observed.,4
Clayey soil with low firmness,4
Excavation reveals moderate stiffness layers.,3
The soil is high strength and firm.,4
Cemented ground.,5
Dry ground.,4
Extremely firm rocky soil,4
Needs deep reinforcement terrain.,2
Fair condition and average consistency terrain.,3
Cemented and bedrock exposed ground.,5
The soil is moderate stiffness.,3
"Soft soil, very little compaction",2
Site consists of maximum compaction material.,5
Excavation reveals stable enough and stable enough layers.,3
Observation: extremely muddy.,1
Ground appears average consistency and average consistency.,3
Site consists of medium dense material.,3
"Medium dense sand, stable and dry",3
Site consists of extremely dense material.,5
Site consists of high strength material.,4
Rock-like ground.,5
Partially settled terrain.,3
Moderate stiffness and typical silt terrain.,3
"Soft silty soil, needs compaction",2
Site consists of sludge material.,1
The soil is medium dense.,3
Excavation reveals cemented layers.,5
Excavation reveals partially settled layers.,3
The soil is very soft.,1
Partially settled ground.,3
Ground appears acceptable firmness and acceptable firmness.,3
Foundations would sit on partially settled earth.,3
Testing indicates typical silt subsurface.,3
The soil is excellent stability.,5
Excavation reveals poorly compacted layers.,2
Poorly compacted and lightly consolidated terrain.,2
Ground appears shifts underfoot and shifts underfoot.,2
Observation: weak.,2
Testing indicates fair condition and moderate stiffness subsurface.,3
Testing indicates shifts underfoot subsurface.,2
The soil is cemented.,5
Foundations would sit on very hard and cemented earth.,5
Ground appears highly consolidated and highly consolidated.,5
Ground appears compressible and spongy and compressible and spongy.,2
Ground appears moderately compacted and moderately compacted.,3
Acceptable firmness terrain.,3
Excavation reveals lightly consolidated layers.,2
The soil is yielding.,2
The soil is loose.,2
Yielding and poorly compacted soil conditions observed.,2
Ground appears yielding and spongy and yielding and spongy.,2
Rocky soil with excellent support,5
Ground appears hard clay and hard clay.,4
Testing indicates highly consolidated and highly consolidated subsurface.,5
Fair condition and partially settled ground.,3
Compact gravelly soil,5
The soil is moderate stiffness.,3
Observation: very soft and quick-sand.,1
Observation: extremely dense and bedrock exposed.,5
Testing indicates liquefied and no bearing capacity subsurface.,1
